No.,Matched Lokal,Commenter Name,Comment Time,Comment Text,Comment URL,Comment ID,Channel ID,Fetched At
1,Basca,@joyceaquino-p2k,8 days ago,"happy viewing po everyone, from lokal ng basca distrito ng benguet",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugyq_lrL-IZ5IB0wag14AaABAg,Ugyq_lrL-IZ5IB0wag14AaABAg,UCwZP8wZoaHLdFo-WaA-c2sw,"Fetched 06/05/2026, 6:00:03 PM GMT+8"
2,Basca,@karella_07,8 days ago,Lezgoo Benguet! Mula po sa lokal ng Basca❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw0OWPkPQUtfs3R2Oh4AaABAg,Ugw0OWPkPQUtfs3R2Oh4AaABAg,UCepuWWZGeTUlsSmB0Twt7rA,"Fetched 06/05/2026, 6:00:03 PM GMT+8"
3,Basca,@jersonloyola3296,11 days ago,"Happy viewing po mga kapatid! 🎉🎉 Mula sa Basca, Benguet",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzPBsP8jgmfmAu9BoN4AaABAg,UgzPBsP8jgmfmAu9BoN4AaABAg,UCKuNBNWSC3fTKtI5Io9FC2A,"Fetched 06/05/2026, 6:00:03 PM GMT+8"
4,Basca,@jersonloyola3296,12 days ago,"Happy viewing po mga kapatid!! 🎉🎉 Basca, Benguet",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgytPwOjb_dDiKJkGK54AaABAg,UgytPwOjb_dDiKJkGK54AaABAg,UCKuNBNWSC3fTKtI5Io9FC2A,"Fetched 06/05/2026, 6:00:03 PM GMT+8"
5,Basca,@jersonloyola3296,13 days ago,"Happy viewing po mga kapatid! Mula po sa Basca, Benguet",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwjAhtykQMATk3Kzs94AaABAg,UgwjAhtykQMATk3Kzs94AaABAg,UCKuNBNWSC3fTKtI5Io9FC2A,"Fetched 06/05/2026, 6:00:03 PM GMT+8"
6,Basca,@jersonloyola3296,2 weeks ago,Go Benguet! From Basca,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy2447t6b7p_71Db7J4AaABAg,Ugy2447t6b7p_71Db7J4AaABAg,UCKuNBNWSC3fTKtI5Io9FC2A,"Fetched 06/05/2026, 6:00:03 PM GMT+8"
7,Basca,@JanielLoyola,2 weeks ago,Happy watching po. From lokal ng basca,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwKcbVQEAwcO-oQPBB4AaABAg,UgwKcbVQEAwcO-oQPBB4AaABAg,UC2RNn-Zvo1RxN0f4S7AzDjw,"Fetched 06/05/2026, 6:00:03 PM GMT+8"
8,Basca,@JanielLoyola,2 weeks ago,Happy watching po. From lokal ng basca,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyK68zD_i71a-oql-J4AaABAg,UgyK68zD_i71a-oql-J4AaABAg,UC2RNn-Zvo1RxN0f4S7AzDjw,"Fetched 06/05/2026, 6:00:03 PM GMT+8"
9,Basca,@jersonloyola3296,2 weeks ago,Fight! Fight! Fight!!! Go Benguet! Mula po sa lokal ng Basca,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzT-gQ2nUP5-1c61bR4AaABAg,UgzT-gQ2nUP5-1c61bR4AaABAg,UCKuNBNWSC3fTKtI5Io9FC2A,"Fetched 06/05/2026, 6:00:03 PM GMT+8"
10,Basca,@Robert-g8i1j,2 weeks ago,Fight fight fight  / from basca,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyXGkvJgNNSlu19L3N4AaABAg,UgyXGkvJgNNSlu19L3N4AaABAg,UCXQMc28EAKMwFV9lv2de4uQ,"Fetched 06/05/2026, 6:00:03 PM GMT+8"
11,Basca,@jersonloyola3296,2 weeks ago,Happy viewing po mga kapatid!!!! Lokal ng Basca,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx9SOoRU1CkPA7d0jl4AaABAg,Ugx9SOoRU1CkPA7d0jl4AaABAg,UCKuNBNWSC3fTKtI5Io9FC2A,"Fetched 06/05/2026, 6:00:03 PM GMT+8"
12,Basca,@JeanBeyating,2 weeks ago,Hi po lokal Ng Basca,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxcmYVMZu2m06O1Ict4AaABAg,UgxcmYVMZu2m06O1Ict4AaABAg,UCL-xTeo9HBoMI4TbhULsfug,"Fetched 06/05/2026, 6:00:03 PM GMT+8"
13,Basca,@nollyabubo8671,2 weeks ago,Happy viewing po sa lahat ng kapatid mula sa Lokal ng Basca Distrito ng Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz7-RmRNjTg3y_GoQN4AaABAg,Ugz7-RmRNjTg3y_GoQN4AaABAg,UCil9W4NVsOfTpmk9DkgK8VA,"Fetched 06/05/2026, 6:00:03 PM GMT+8"
14,Basca,@catherinecambato1079,2 weeks ago,"Happy viewing from locale of Basca,Benguet",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgydrtXfAGtbEQvB2Ih4AaABAg,UgydrtXfAGtbEQvB2Ih4AaABAg,UCyFyGp-rRbJlT69SeEm9BGg,"Fetched 06/05/2026, 6:00:03 PM GMT+8"
15,Basca,@JanielLoyola,2 weeks ago,Happy watching po. From lokal ng basca,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz3GwSD6DuPT6DB2FJ4AaABAg,Ugz3GwSD6DuPT6DB2FJ4AaABAg,UC2RNn-Zvo1RxN0f4S7AzDjw,"Fetched 06/05/2026, 6:00:03 PM GMT+8"
16,Basca,@panapets22,2 weeks ago,happy viewing  / from local ng basca distrito ng benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzUKo28BKZ4MYLv85p4AaABAg,UgzUKo28BKZ4MYLv85p4AaABAg,UCWtmvbvBGyPeKUOc494Wpqg,"Fetched 06/05/2026, 6:00:03 PM GMT+8"
17,Basca,@LeoGodoy-y9b,2 weeks ago,Happy viewing po sa LAHAT / Mula po sa lokal ng basca,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxbIfSQLxpP5sTnI5Z4AaABAg,UgxbIfSQLxpP5sTnI5Z4AaABAg,UC_1dkd_gw0s43s9oeDVvcDA,"Fetched 06/05/2026, 6:00:03 PM GMT+8"
18,Basca,@JarmaineAquino,2 weeks ago,Mula po sa lokal nang Basca,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyNy4H3H4znjfsOc2h4AaABAg,UgyNy4H3H4znjfsOc2h4AaABAg,UCQX_VFIR4RwCdmyIEosiYTw,"Fetched 06/05/2026, 6:00:03 PM GMT+8"
19,Basca,@jersonloyola3296,2 weeks ago,Go! Go! Benguet! From Basca,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwRX0p3R29KH70lFW14AaABAg,UgwRX0p3R29KH70lFW14AaABAg,UCKuNBNWSC3fTKtI5Io9FC2A,"Fetched 06/05/2026, 6:00:03 PM GMT+8"
20,Basca,@IrishDianaMaeDulay,2 weeks ago,"Happy viewing po, mula sa lokal po ng Basca Distrito ng Benguet. Yuhowwwwww!!!",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz3wCl9K5EBoeh-fkh4AaABAg,Ugz3wCl9K5EBoeh-fkh4AaABAg,UCGNy_-vLnQixPMS4KrWokuA,"Fetched 06/05/2026, 6:00:03 PM GMT+8"
21,Basca,@REPAREJOROXAND,2 weeks ago,"God’s love / Blessed us all ❤ / Happy viewing locale of Basca,Benguet 😇🙏",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwtRnz93kVZeFU1xy94AaABAg,UgwtRnz93kVZeFU1xy94AaABAg,UCRFzAIdLPyA3O4_xRM9BFqA,"Fetched 06/05/2026, 6:00:03 PM GMT+8"
22,Basca,@KimAngelEscartin-c2o,2 weeks ago,"Happy viewing po from Lokal ng Basca, Distrito ng Benguet  / Yohoooooo!!!",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz8SGoh67SbqtOOW2l4AaABAg,Ugz8SGoh67SbqtOOW2l4AaABAg,UCe0ztAVPCGrke0xzL7a4IhA,"Fetched 06/05/2026, 6:00:03 PM GMT+8"
23,Basca,@JudyFrancisco-x3v3v,2 weeks ago,"Happy viewing Po mga Kapatid...greeting  from lokal Ng Basca,Distrito Ng Benguet🥰",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzRpgJoNTdT2S_hAUl4AaABAg,UgzRpgJoNTdT2S_hAUl4AaABAg,UCgmrG3xVP-oI28CsF2TVfLg,"Fetched 06/05/2026, 6:00:03 PM GMT+8"
24,Basca,@joyceaquino-p2k,2 weeks ago (edited),"happy viewing po! mula sa lokal ng basca, distrito ng benguet yohoooooo!!!!!",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwp66DxGMwYVt0EKpN4AaABAg,Ugwp66DxGMwYVt0EKpN4AaABAg,UCwZP8wZoaHLdFo-WaA-c2sw,"Fetched 06/05/2026, 6:00:03 PM GMT+8"
25,Basca,@johnphilip9483,2 weeks ago,"Happy viewing po, mula po sa  Lokal ng Basca, Distrito ng Benguet❤",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz63KzjFvxwUA-0e954AaABAg,Ugz63KzjFvxwUA-0e954AaABAg,UCkHHPkuXKr0X0b4PRH7bjqQ,"Fetched 06/05/2026, 6:00:03 PM GMT+8"
26,Basca,@MaricarCastigo-t5w,2 weeks ago (edited),"Happy viewing po from Lokal ng Basca, Distrito ng Benguet ❤",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwsQYyd11CSttgoc6F4AaABAg,UgwsQYyd11CSttgoc6F4AaABAg,UC2tBczbVZJXrDffiDX3guNQ,"Fetched 06/05/2026, 6:00:03 PM GMT+8"
27,Basca,@jersonloyola3296,2 weeks ago,Watching from lokal ng Basca🎉🎉🎉🎉,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy0qqfcVWy1mEMFWJd4AaABAg,Ugy0qqfcVWy1mEMFWJd4AaABAg,UCKuNBNWSC3fTKtI5Io9FC2A,"Fetched 06/05/2026, 6:00:03 PM GMT+8"
28,Basca,@Robert-g8i1j,3 weeks ago,Happy viewing po from Basca,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy7prMQUJsjoLwBHUV4AaABAg,Ugy7prMQUJsjoLwBHUV4AaABAg,UCXQMc28EAKMwFV9lv2de4uQ,"Fetched 06/05/2026, 6:00:03 PM GMT+8"
