No.,Matched Lokal,Commenter Name,Comment Time,Comment Text,Comment URL,Comment ID,Channel ID,Fetched At
1,Buyagan,@Unnamed_218,12 days ago,Msayang panunuod po kapatid....mula po sa lokal ng buyagan distrito ng benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwdwjCNtBhUQis44Ap4AaABAg,UgwdwjCNtBhUQis44Ap4AaABAg,UC_yFX77sKLao4lGWJ-uC5EA,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
2,Buyagan,@maricrismercado6454,12 days ago,❤❤❤❤from buyagan,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwM6jXqOM-C1fv1TTl4AaABAg,UgwM6jXqOM-C1fv1TTl4AaABAg,UCkZryXXXTYxAVavhBur_vng,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
3,Buyagan,@Unnamed_218,12 days ago,Mlgyamg arw po sa lht ng mga kaptid mula po sa lokal ng buyagan distrito po ng benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwY_B2JnDSF54mZg8t4AaABAg,UgwY_B2JnDSF54mZg8t4AaABAg,UC_yFX77sKLao4lGWJ-uC5EA,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
4,Buyagan,@gerlieshanepang-an,12 days ago,Go Benguet!!!   / Supporting from Buyagan!,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzSNqPLI1Nz9d8TjqJ4AaABAg,UgzSNqPLI1Nz9d8TjqJ4AaABAg,UCxLGX82v5Wq8FH7FxBATx-g,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
5,Buyagan,@JoshbactaoUllah,12 days ago,Lokal ng buyagan po,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxW2xwRbUTUa67NcPV4AaABAg,UgxW2xwRbUTUa67NcPV4AaABAg,UC7tKal8tJxgoG20ZSA1IevA,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
6,Buyagan,@E-saNgaseo,12 days ago,Happy viewing po mga kapatid mula po sa local ng Buyagan- -Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwDDPCDabcw88GD5ox4AaABAg,UgwDDPCDabcw88GD5ox4AaABAg,UCREg3iRDXbJDJkAKjImnkSQ,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
7,Buyagan,@gerlieshanepang-an,12 days ago,Happy Viewing po🎉 Greetings from lokal Ng Buyagan ❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzVY0jnIozIVqdeZ8R4AaABAg,UgzVY0jnIozIVqdeZ8R4AaABAg,UCxLGX82v5Wq8FH7FxBATx-g,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
8,Buyagan,@maricrismercado6454,12 days ago,Watching from buyagan.....go benguet.....,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzwgDPs9ds0aKKqKdZ4AaABAg,UgzwgDPs9ds0aKKqKdZ4AaABAg,UCkZryXXXTYxAVavhBur_vng,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
9,Buyagan,@Unnamed_218,12 days ago,Gud evning po s lahat ng kapatid mula po s lokal ng buyagan distrito ng benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxmBgR8KotyGYRy2JB4AaABAg,UgxmBgR8KotyGYRy2JB4AaABAg,UC_yFX77sKLao4lGWJ-uC5EA,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
10,Buyagan,@gerlieshanepang-an,12 days ago,Happy viewing! Greetings from lokal ng Buyagan,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzR9RW0kmKqMrI4NNB4AaABAg,UgzR9RW0kmKqMrI4NNB4AaABAg,UCxLGX82v5Wq8FH7FxBATx-g,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
