No.,Matched Lokal,Commenter Name,Comment Time,Comment Text,Comment URL,Comment ID,Channel ID,Fetched At
1,Marcos Highway,@maryjoygalera3660,6 days ago,Let’s Go Benguet! From lokal of Marcos Highway..,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxy6IboXwMCvQuy2Wx4AaABAg,Ugxy6IboXwMCvQuy2Wx4AaABAg,UC7-45oCq8nneb8JYDKkMgeg,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
2,Marcos Highway,@m-g4marquezkield.475,6 days ago,happy viewing po  /  / mula sa marcos highway,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzALiOUmWvvfimgvzN4AaABAg,UgzALiOUmWvvfimgvzN4AaABAg,UCbFQ0ju-gwRJ-dX__BlbN7Q,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
3,Marcos Highway,@akongapopalasipips,6 days ago,Happy viewing po from marcos highway.,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxXYUEytJvVVCyvPb94AaABAg,UgxXYUEytJvVVCyvPb94AaABAg,UCQG0kuFYYfY_o7VPo6YOlgQ,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
4,Marcos Highway,@akongapopalasipips,6 days ago,Greetings po mula sa lokal ng Marcos Highway,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxJkrRbD74c6UAu-RN4AaABAg,UgxJkrRbD74c6UAu-RN4AaABAg,UCQG0kuFYYfY_o7VPo6YOlgQ,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
5,Marcos Highway,@josephdulay9738,7 days ago,Kapag may pagsubok huwag mag WALKOUT laban lang hehehe mula sa Lokal ng Marcos Highway Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwv9Ic0BRZVGmtC8Y54AaABAg,Ugwv9Ic0BRZVGmtC8Y54AaABAg,UCwvvvRliliMsTWa0NSEeWPg,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
6,Marcos Highway,@camshinn137,7 days ago,"Happy viewing po to all brethren!  / Greetings from Local of Marcos Highway, Ecclesiastical District of Benguet💚🤍❤️",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzK_VoIlq33QWPhSrV4AaABAg,UgzK_VoIlq33QWPhSrV4AaABAg,UCdoWnC3qAw2LGoS58oioDYw,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
7,Marcos Highway,@camshinn137,7 days ago,"Happy viewing po to all brethren!  / Greetings from Local of Marcos Highway, Ecclesiastical District of Benguet💚🤍❤️",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzP-_BGPUbvMnSNWUt4AaABAg,UgzP-_BGPUbvMnSNWUt4AaABAg,UCdoWnC3qAw2LGoS58oioDYw,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
8,Marcos Highway,@camshinn137,7 days ago,"Happy viewing po to all brethren!  / Greetings from Local of Marcos Highway, Ecclesiastical District of Benguet💚🤍❤️",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyoWDUvfxl0EmJvIvR4AaABAg,UgyoWDUvfxl0EmJvIvR4AaABAg,UCdoWnC3qAw2LGoS58oioDYw,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
9,Marcos Highway,@camshinn137,7 days ago,"Happy viewing po to all brethren!  / Greetings from Local of Marcos Highway, Ecclesiastical District of Benguet💚🤍❤️",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyWry7BTdxpQ6Hrn2l4AaABAg,UgyWry7BTdxpQ6Hrn2l4AaABAg,UCdoWnC3qAw2LGoS58oioDYw,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
10,Marcos Highway,@camshinn137,7 days ago,"Happy viewing po to all brethren!  / Greetings from Local of Marcos Highway, District Congregation of Benguet💚🤍❤️",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwJO-GeguGXIgciJi14AaABAg,UgwJO-GeguGXIgciJi14AaABAg,UCdoWnC3qAw2LGoS58oioDYw,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
