No.,Lokal,Matched Comment Rows,Numbers Updated At
1,Baguio City,7733,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
2,Atok Gold,6460,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
3,La Trinidad,5507,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
4,Aurora Hill,1568,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
5,Norcar,1446,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
6,Quezon Hill,1261,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
7,Hillside,1159,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
8,Loakan Airport,1005,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
9,Guisad,735,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
10,Irisan,643,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
11,Tublay,525,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
12,Marcos Highway,501,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
13,Gibraltar,460,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
14,Tuba,425,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
15,Balatoc,350,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
16,Megaroyale Village,305,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
17,Kias,286,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
18,City Camp,281,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
19,Lourdes,145,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
20,Sayatan,140,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
21,Pinsao,139,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
22,Mirador Hills,138,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
23,Loacan,133,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
24,Camp 7,128,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
25,Camp 6,124,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
26,Buyagan,121,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
27,Bangho,116,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
28,San Luis,109,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
29,Tomay,94,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
30,Camp 8,87,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
31,Balakbak,81,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
32,Ambiong,74,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
33,Greenwater,71,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
34,Taloy Sur,69,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
35,Binanga,66,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
36,Penged,65,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
37,Posos,61,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
38,Philex,53,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
39,Lacaan,51,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
40,Sablan,44,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
41,San Carlos Heights,40,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
42,Kapangan,38,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
43,Basca,32,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
44,Tadiangan,29,"Fetched 05/22/2026, 9:00:02 PM GMT+8"
