Luzon Ranking
Rank,Entry / District,Song Title,Current Views,Published,Matched Video Title,YouTube URL,Fetched At
1,Benguet,God's Love,44578,2026-04-30T21:00:35-07:00,God's Love | Benguet | INCMV AWARDS 2026,https://www.youtube.com/watch?v=ROa3kbG5M0U,"Fetched 05/21/2026, 12:10:49 AM GMT+8"
2,"Trece Martires City, Cavite",Siya Lagi,38414,2026-04-30T21:00:49-07:00,"Siya Lagi | Trece Martires City, Cavite | INCMV AWARDS 2026",https://www.youtube.com/watch?v=ihukT2TiNwM,"Fetched 05/21/2026, 12:10:49 AM GMT+8"
3,Maynila,"Di Magsasawang Pasalamatan Ka, Ama",26315,2026-04-30T21:00:22-07:00,"Di Magsasawang Pasalamatan Ka, Ama | Maynila | INCMV AWARDS 2026",https://www.youtube.com/watch?v=M4k2h6VWlJ0,"Fetched 05/21/2026, 12:10:49 AM GMT+8"
4,"Dasmariñas City, Cavite",Pag-asa Natin Ay Magaganap,24794,2026-04-30T21:00:29-07:00,"Pag-asa Natin Ay Magaganap | Dasmariñas City, Cavite | INCMV AWARDS 2026",https://www.youtube.com/watch?v=V34WkLFWvmA,"Fetched 05/21/2026, 12:10:49 AM GMT+8"
5,Pampanga West,I Have You,20763,2026-04-30T21:00:08-07:00,I Have You | Pampanga West | INCMV AWARDS 2026,https://www.youtube.com/watch?v=5uWtu3e7fbw,"Fetched 05/21/2026, 12:10:49 AM GMT+8"
6,Quezon City,Hindi Natin Kailanman Iisipin,20537,2026-05-04T02:23:57-07:00,Hindi Natin Kailanman Iisipin | Quezon City | INCMV AWARDS 2026,https://www.youtube.com/watch?v=4hJvjpVrAAM,"Fetched 05/21/2026, 12:10:49 AM GMT+8"
7,"Lingayen, Pangasinan",Anuman Po Ang Mangyari,18877,2026-04-30T21:00:11-07:00,"Anuman Po Ang Mangyari | Lingayen, Pangasinan | INCMV AWARDS 2026",https://www.youtube.com/watch?v=A8hClgV1V78,"Fetched 05/21/2026, 12:10:49 AM GMT+8"
8,Batangas North,"Di Magsasawang Pasalamatan Ka, Ama",16605,2026-04-30T21:00:51-07:00,"Di Magsasawang Pasalamatan Ka, Ama | Batangas North | INCMV AWARDS 2026",https://www.youtube.com/watch?v=jRQ76pIg7cw,"Fetched 05/21/2026, 12:10:49 AM GMT+8"
9,"Tarlac City, Tarlac",Sa Muling Pagkikita,12971,2026-04-30T21:00:50-07:00,"Sa Muling Pagkikita | Tarlac City, Tarlac | INCMV AWARDS 2026",https://www.youtube.com/watch?v=frNvB2_tlNo,"Fetched 05/21/2026, 12:10:49 AM GMT+8"
10,La Union,Everything is Possible with Father,12231,2026-04-30T21:00:47-07:00,Everything is Possible with Father | La Union | INCMV AWARDS 2026,https://www.youtube.com/watch?v=be84unNvvV0,"Fetched 05/21/2026, 12:10:49 AM GMT+8"
11,Cavite,Yakap,12129,2026-05-01T18:17:55-07:00,Yakap | Cavite | INCMV AWARDS 2026,https://www.youtube.com/watch?v=Huka7hJAsh8,"Fetched 05/21/2026, 12:10:49 AM GMT+8"
