Visayas Ranking
Rank,Entry / District,Song Title,Current Views,Published,Matched Video Title,YouTube URL,Fetched At
1,"Cebu City, Cebu",Ang Pag-awit Sa Iyo Ang Kaaliwan,87000,1 month ago,"Ang Pag-awit Sa Iyo Ang Kaaliwan | Cebu City, Cebu | INCMV AWARDS 2026",https://www.youtube.com/watch?v=HJLauTbonUQ,"Fetched 06/05/2026, 8:55:16 PM GMT+8"
2,Aklan,"Lahat, Posible Sa Ama",76306,2026-05-01,"Lahat, Posible Sa Ama | Aklan | INCMV AWARDS 2026",https://www.youtube.com/watch?v=TznVRMmBHwI,"Fetched 06/05/2026, 8:55:16 PM GMT+8"
3,Bohol,Kalmadong Magpatuloy,7764,2026-05-01,Kalmadong Magpatuloy | Bohol | INCMV AWARDS 2026,https://www.youtube.com/watch?v=f_bb1leQUlE,"Fetched 06/05/2026, 8:55:16 PM GMT+8"
4,"Tacloban City, Leyte",Sabi Ni Lola,6079,2026-05-01,"Sabi Ni Lola | Tacloban City, Leyte | INCMV AWARDS 2026",https://www.youtube.com/watch?v=kYhrHytdid4,"Fetched 06/05/2026, 8:55:16 PM GMT+8"
5,"Carcar City, Cebu",45,4534,2026-05-01,"45 | Carcar City, Cebu | INCMV AWARDS 2026",https://www.youtube.com/watch?v=4qBLETJR2IE,"Fetched 06/05/2026, 8:55:16 PM GMT+8"
6,"Kabankalan City, Negros Occidental",Siya Lagi,3897,2026-05-01,"Siya Lagi | Kabankalan City, Negros Occidental | INCMV AWARDS 2026",https://www.youtube.com/watch?v=NqNSCeCGbuw,"Fetched 06/05/2026, 8:55:16 PM GMT+8"
7,Iloilo South,Panalangin,3156,2026-05-01,Panalangin | Iloilo South | INCMV AWARDS 2026,https://www.youtube.com/watch?v=HI-yMeRI3bg,"Fetched 06/05/2026, 8:55:16 PM GMT+8"
8,Leyte,Habang-buhay Namin Kayong Mamahalin,3100,1 month ago,Habang-buhay Namin Kayong Mamahalin | Leyte | INCMV AWARDS 2026,https://www.youtube.com/watch?v=mogw64StkZA,"Fetched 06/05/2026, 8:55:16 PM GMT+8"
9,Negros Oriental,Still Blessed By God,3100,1 month ago,Still Blessed By God | Negros Oriental | INCMV AWARDS 2026,https://www.youtube.com/watch?v=t_pcYcHx5Ng,"Fetched 06/05/2026, 8:55:16 PM GMT+8"
10,Southern Leyte,Ilagak Ang Pag-asa Sa Biyayang Darating,1600,1 month ago,Ilagak Ang Pag-asa Sa Biyayang Darating | Southern Leyte | INCMV AWARDS 2026,https://www.youtube.com/watch?v=nWhiokZYDY0,"Fetched 06/05/2026, 8:55:16 PM GMT+8"
11,Antique,My Strength And Confidence,967,1 month ago,My Strength And Confidence | Antique | INCMV AWARDS 2026,https://www.youtube.com/watch?v=G2q4uanbfJk,"Fetched 06/05/2026, 8:55:16 PM GMT+8"
12,"San Carlos City, Negros Occidental",Enlightened,649,2026-05-01,"Enlightened | San Carlos City, Negros Occidental | INCMV AWARDS 2026",https://www.youtube.com/watch?v=ffrtWU5cB4A,"Fetched 06/05/2026, 8:55:16 PM GMT+8"
