No.	Matched Lokal	Commenter Name	Comment Time	Comment Text	Comment URL	Comment ID	Channel ID	Fetched At
1	Taloy Sur	@NovaTereng	7 days ago	Happy viewing po mula sa lokal ng Taloy Sur, Distrito ng Benguet.	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwXXdiA5SknP1appux4AaABAg	UgwXXdiA5SknP1appux4AaABAg	UClz3r_5cgJZOvMTXCx5nNoA	Fetched 06/04/2026, 11:00:05 PM GMT+8
2	Taloy Sur	@mariloujucar3208	7 days ago	Hold on to your faith mga kabuklod s Lokal NG Taloy SUR Distrito ng Benguet...	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxDHvkJDd6ZO71r9Il4AaABAg	UgxDHvkJDd6ZO71r9Il4AaABAg	UCMbn31xrNEnulUG5fdpH82w	Fetched 06/04/2026, 11:00:05 PM GMT+8
3	Taloy Sur	@ronniejucar-p8v	7 days ago	salamat s lahat ng buklod s Lokal ng Taloy Sur Distrito ng Benguet	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxUTuERDgPymyydQ5J4AaABAg	UgxUTuERDgPymyydQ5J4AaABAg	UCjo50U83BHzY7ln8p0-3LuQ	Fetched 06/04/2026, 11:00:05 PM GMT+8
4	Taloy Sur	@ronniejucar-p8v	8 days ago	shout out po s mga buklod ng Lokal ng Taloy Sur Distrito ng Benguet	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwKy66UkwFU27l6sCB4AaABAg	UgwKy66UkwFU27l6sCB4AaABAg	UCjo50U83BHzY7ln8p0-3LuQ	Fetched 06/04/2026, 11:00:05 PM GMT+8
5	Taloy Sur	@mariloujucar3208	8 days ago	Shout out po s Finance at Buklod NG Lokal NG Taloy SUR Distrito ng Benguet...	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwPFxnWZYG122UuEX94AaABAg	UgwPFxnWZYG122UuEX94AaABAg	UCMbn31xrNEnulUG5fdpH82w	Fetched 06/04/2026, 11:00:05 PM GMT+8
6	Taloy Sur	@NovaTereng	8 days ago	Happy viewing po sa ating lahat!!  / Mula po sa Lokal ng Taloy Sur / Distrito ng Benguet.	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy9-an7IaBHjzuqt054AaABAg	Ugy9-an7IaBHjzuqt054AaABAg	UClz3r_5cgJZOvMTXCx5nNoA	Fetched 06/04/2026, 11:00:05 PM GMT+8
7	Taloy Sur	@mariloujucar3208	8 days ago	Good morning po s tagapangasiwa NG distrito  KA Ardy Mendoza at s mga  Buklod s Lokal NG Taloy SUR Distrito ng Benguet...	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxA_wCBJ0PhEJezhfd4AaABAg	UgxA_wCBJ0PhEJezhfd4AaABAg	UCMbn31xrNEnulUG5fdpH82w	Fetched 06/04/2026, 11:00:05 PM GMT+8
8	Taloy Sur	@ronniejucar-p8v	8 days ago	go go Benguet... good morning po Ka Eliah at s mga buklod s Lokal ng Taloy Sur Distrito ng Benguet...	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxzenx5-mOIFX_Ko1F4AaABAg	Ugxzenx5-mOIFX_Ko1F4AaABAg	UCjo50U83BHzY7ln8p0-3LuQ	Fetched 06/04/2026, 11:00:05 PM GMT+8
9	Taloy Sur	@mariloujucar3208	9 days ago	Hello po sa lahat NG kapatid n nanonood NG God's Love, s mga Buklod NG lokal NG Taloy SUR Distrito ng Benguet...	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwRVLLUqloNbxpq8vF4AaABAg	UgwRVLLUqloNbxpq8vF4AaABAg	UCMbn31xrNEnulUG5fdpH82w	Fetched 06/04/2026, 11:00:05 PM GMT+8
10	Taloy Sur	@ronniejucar-p8v	9 days ago	go...fight...Benguet Mula po s buklod ng Lokal ng Taloy Sur Distrito ng Benguet...	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwZE-yjXJiB9_CqU2F4AaABAg	UgwZE-yjXJiB9_CqU2F4AaABAg	UCjo50U83BHzY7ln8p0-3LuQ	Fetched 06/04/2026, 11:00:05 PM GMT+8
11	Taloy Sur	@KwarogskyBuratsky	9 days ago	Lets go Benguet / Lets go Taloy Sur / Fight Fight!!	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx5851Xi_uQrpYia4d4AaABAg	Ugx5851Xi_uQrpYia4d4AaABAg	UCwQK5U5w1AFsKzELbZ0MuPw	Fetched 06/04/2026, 11:00:05 PM GMT+8
12	Taloy Sur	@Pogi-s7v	9 days ago	Never forget na isama sa playlist ang God's Love. Tuliy Tuliy ang suporta dto sa Taloy Sur / GO GO BENGUET!!	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwDjFXuaho6uFHpY7x4AaABAg	UgwDjFXuaho6uFHpY7x4AaABAg	UCUoKQr0Va6g_r-CxNXipYEg	Fetched 06/04/2026, 11:00:05 PM GMT+8
13	Taloy Sur	@AcquiobenDonnaMaeK	9 days ago	Happy watching, mula po sa lokal ng Taloy Sur distrito ng Benguet	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxdiexsHghGTUxKaBJ4AaABAg	UgxdiexsHghGTUxKaBJ4AaABAg	UCQrYzGUsnYaf11jr-pzhKHg	Fetched 06/04/2026, 11:00:05 PM GMT+8
14	Taloy Sur	@its_princessacquioben	9 days ago	Let's go Benguet, mula sa lokal ng Taloy Sur, happy watching po❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzYlLZCamKikgTLQO94AaABAg	UgzYlLZCamKikgTLQO94AaABAg	UCvsBgIZpAc7NeFt9s7T_17A	Fetched 06/04/2026, 11:00:05 PM GMT+8
15	Taloy Sur	@felizardosamonte9093	9 days ago	Kadiwa po sa Lokal ng Taloy Sur.	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzzn64G_54mDTj4ZNZ4AaABAg	Ugzzn64G_54mDTj4ZNZ4AaABAg	UC_jk6gM5MCLZP2wk0m0dJ6Q	Fetched 06/04/2026, 11:00:05 PM GMT+8
