Officer Name	Selected YouTube Username	Selected Account Comments	All Candidate Account Counts
Yancy	@Takoshenchie	16	@Takoshenchie: 16, @YibbyAI: 2, @YancyNacion: 2, @YancyNacion-n5u: 2
Jonie	@jonieyonga-an5239	320	@jonieyonga-an5239: 320
Lui	@luibustamante9493	255	@maluisabustamante2873: 0, @luibustamante9493: 255
Zky	@Its_Handsome_Kurtzky5442	24	@kurtzkylaruan1665: 0, @Its_Handsome_Kurtzky5442: 24
Elle	@ellec01914	0	@ellec01914: 0
Kim	kimberlysarmiento1034	57	kimberlysarmiento1034: 57
Gwyneth	gwynethcayabyab5981	212	gwynethcayabyab5981: 212
Rhyndylyn	almazanrhyndylyn	402	almazanrhyndylyn: 402
Febei	@kristine7303	136	@kristine7303: 136
Henry	@henrycaranto2644	240	@henrycaranto2644: 240
Juls	@Julskie28	207	@Julskie28: 207
Jas	@jasminedaludado7262	146	@jasminedaludado7262: 146
Gelo	@gelo4828	75	@gelo4828: 75
Anle	@johnreylucio8970	352	@johnreylucio8970: 352
Meryll	@meryllsagampod7982	27	@meryllsagampod7982: 27
Wink	@winkdelarosa2397	97	@winkdelarosa2397: 97
Ysay	@yzabelgayadan6013	75	@yzabelgayadan6013: 75
Jazy	@KaJaz-r3n	65	@jazerashleypacardo8593: 6, @MugglesOut0506: 0, @MugglesOut: 3, @KaJaz-r3n: 65
Rejomar	@RejomarTayaban	125	@RejomarTayaban: 125
Yayi	@AllenAndreiBelen	0	@AllenAndreiBelen: 0
