No.	Commenter Name	Comment Time	Comment Text	Comment URL	Comment ID	Channel ID	Fetched At
1	@ehdwow318	15 hours ago	Congratulations Benguet!!! /  / - Lokal ng Megaroyale, Distrito ng Benguet ❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzHaEL0q483B_Sz97p4AaABAg	UgzHaEL0q483B_Sz97p4AaABAg	UCiwATwwRZ8TCez4FYmw9s0Q	Fetched 06/04/2026, 12:00:04 PM GMT+8
2	@jaydeesotto488	1 day ago	magandang gabi sa lahat ng mga kapatid .. mula po sa lokal ng Irisan Distrito ng Benguet...happy viewing po❤❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz4kWIO13ki-CSH9Rd4AaABAg	Ugz4kWIO13ki-CSH9Rd4AaABAg	UCjnf-CTt3LWKZVwyiWSJcmg	Fetched 06/04/2026, 12:00:04 PM GMT+8
3	@axeliee-m5u	1 day ago	Congrats Benguet 💯🎉🎉	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzPnJDvpYJaSngPaQF4AaABAg	UgzPnJDvpYJaSngPaQF4AaABAg	UCxjmGS0yLlCMs4Fe-AqbHFw	Fetched 06/04/2026, 12:00:04 PM GMT+8
4	@evangelinecapuno4773	1 day ago	Congratulations po Distrito ng Benguet! / From Milan, Italy North! / Shout out po to Banaga Family🥰	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgykXhEf_moRJw2jpw54AaABAg	UgykXhEf_moRJw2jpw54AaABAg	UC4rb5QE7A7JPAjYFUyjPRkQ	Fetched 06/04/2026, 12:00:04 PM GMT+8
5	@elle.1914	2 days ago	Congratulations po sa lahat!  /  / Sa Ama po ang kapurihan ❤️	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx5Aw6zgcWVMNk9yGp4AaABAg	Ugx5Aw6zgcWVMNk9yGp4AaABAg	UCTpq1TVl2hklh10PE8QqVhw	Fetched 06/04/2026, 12:00:04 PM GMT+8
6	@johnreylucio8970	2 days ago	Always Watching po, Lokal ng La Trinidad	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzMerKYa7JYjd5ryad4AaABAg	UgzMerKYa7JYjd5ryad4AaABAg	UCNMupRD4ySrN336KZpy29OA	Fetched 06/04/2026, 12:00:04 PM GMT+8
7	@romeojun9918	2 days ago	Go benguet full support Po ❤️🇮🇹	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwHqHg_UMHzo-DyEk94AaABAg	UgwHqHg_UMHzo-DyEk94AaABAg	UC78hWlC55LWXXfjHcWXsXZw	Fetched 06/04/2026, 12:00:04 PM GMT+8
8	@markdee4662	2 days ago	Watching from lokal ng megaroyale Village. Time check 2:52Am	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgworvvCnyLCKrhBJm94AaABAg	UgworvvCnyLCKrhBJm94AaABAg	UCa2Y_FoGVERvnxIwM_suxOA	Fetched 06/04/2026, 12:00:04 PM GMT+8
9	@edithindiongco2297	2 days ago	Congratulations po, District of Benguet!! Praises to God! Greetings from the District of San Diego County, California!	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw4vA7PBHd6FZTwU3N4AaABAg	Ugw4vA7PBHd6FZTwU3N4AaABAg	UCkSyHke0fRIzywYjMXH5vkQ	Fetched 06/04/2026, 12:00:04 PM GMT+8
10	@axeliee-m5u	3 days ago	Still watching po 👋👋	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxD3-dDuFFgR16TvP54AaABAg	UgxD3-dDuFFgR16TvP54AaABAg	UCxjmGS0yLlCMs4Fe-AqbHFw	Fetched 06/04/2026, 12:00:04 PM GMT+8
11	@rubygallardo-oribello8846	3 days ago	Congratulations  Benguet District 🎉🎉🎉	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwUdr-KtzqgX2BVK514AaABAg	UgwUdr-KtzqgX2BVK514AaABAg	UCvXHuFOxcNepXQz7uhe8qfQ	Fetched 06/04/2026, 12:00:04 PM GMT+8
