Philippine Nationwide Ranking
Rank,Region,Entry / District,Song Title,Current Views,Published,Matched Video Title,YouTube URL,Fetched At
1,Visayas,"Cebu City, Cebu",Ang Pag-awit Sa Iyo Ang Kaaliwan,76820,2026-05-04T02:29:44-07:00,"Ang Pag-awit Sa Iyo Ang Kaaliwan | Cebu City, Cebu | INCMV AWARDS 2026",https://www.youtube.com/watch?v=HJLauTbonUQ,"Fetched 05/27/2026, 6:20:56 PM GMT+8"
2,Visayas,Aklan,"Lahat, Posible Sa Ama",69848,2026-04-30T21:00:38-07:00,"Lahat, Posible Sa Ama | Aklan | INCMV AWARDS 2026",https://www.youtube.com/watch?v=TznVRMmBHwI,"Fetched 05/27/2026, 6:20:56 PM GMT+8"
3,Luzon,Benguet,God's Love,61086,2026-04-30T21:00:35-07:00,God's Love | Benguet | INCMV AWARDS 2026,https://www.youtube.com/watch?v=ROa3kbG5M0U,"Fetched 05/27/2026, 6:20:56 PM GMT+8"
4,Luzon,"Trece Martires City, Cavite",Siya Lagi,38132,2026-04-30T21:00:49-07:00,"Siya Lagi | Trece Martires City, Cavite | INCMV AWARDS 2026",https://www.youtube.com/watch?v=ihukT2TiNwM,"Fetched 05/27/2026, 6:20:56 PM GMT+8"
5,Luzon,Maynila,"Di Magsasawang Pasalamatan Ka, Ama",27393,2026-04-30T21:00:22-07:00,"Di Magsasawang Pasalamatan Ka, Ama | Maynila | INCMV AWARDS 2026",https://www.youtube.com/watch?v=M4k2h6VWlJ0,"Fetched 05/27/2026, 6:20:56 PM GMT+8"
6,Luzon,"Dasmariñas City, Cavite",Pag-asa Natin Ay Magaganap,26367,2026-04-30T21:00:29-07:00,"Pag-asa Natin Ay Magaganap | Dasmariñas City, Cavite | INCMV AWARDS 2026",https://www.youtube.com/watch?v=V34WkLFWvmA,"Fetched 05/27/2026, 6:20:56 PM GMT+8"
7,Luzon,Quezon City,Hindi Natin Kailanman Iisipin,22968,2026-05-04T02:23:57-07:00,Hindi Natin Kailanman Iisipin | Quezon City | INCMV AWARDS 2026,https://www.youtube.com/watch?v=4hJvjpVrAAM,"Fetched 05/27/2026, 6:20:56 PM GMT+8"
8,Luzon,Pampanga West,I Have You,22729,2026-04-30T21:00:08-07:00,I Have You | Pampanga West | INCMV AWARDS 2026,https://www.youtube.com/watch?v=5uWtu3e7fbw,"Fetched 05/27/2026, 6:20:56 PM GMT+8"
9,Luzon,"Lingayen, Pangasinan",Anuman Po Ang Mangyari,19095,2026-04-30T21:00:11-07:00,"Anuman Po Ang Mangyari | Lingayen, Pangasinan | INCMV AWARDS 2026",https://www.youtube.com/watch?v=A8hClgV1V78,"Fetched 05/27/2026, 6:20:56 PM GMT+8"
10,Luzon,Batangas North,"Di Magsasawang Pasalamatan Ka, Ama",17325,2026-04-30T21:00:51-07:00,"Di Magsasawang Pasalamatan Ka, Ama | Batangas North | INCMV AWARDS 2026",https://www.youtube.com/watch?v=jRQ76pIg7cw,"Fetched 05/27/2026, 6:20:56 PM GMT+8"
11,Luzon,La Union,Everything is Possible with Father,13897,2026-04-30T21:00:47-07:00,Everything is Possible with Father | La Union | INCMV AWARDS 2026,https://www.youtube.com/watch?v=be84unNvvV0,"Fetched 05/27/2026, 6:20:56 PM GMT+8"
12,Luzon,"Tarlac City, Tarlac",Sa Muling Pagkikita,13493,2026-04-30T21:00:50-07:00,"Sa Muling Pagkikita | Tarlac City, Tarlac | INCMV AWARDS 2026",https://www.youtube.com/watch?v=frNvB2_tlNo,"Fetched 05/27/2026, 6:20:56 PM GMT+8"
