No.	Matched Lokal	Commenter Name	Comment Time	Comment Text	Comment URL	Comment ID	Channel ID	Fetched At
1	Sablan	@jrcanja-p2j	15 hours ago	Goodmorning po sa Lahat.😊😊 / Mula po sa Lokal ng Sablan	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzwpWz-Tol4WkbN0fR4AaABAg	UgzwpWz-Tol4WkbN0fR4AaABAg	UCykn86Ha46HDPYtEK2KPtkQ	Fetched 05/28/2026, 10:00:02 PM GMT+8
2	Sablan	@arjanejesalva9246	1 day ago	Happy viewing po mula aa lokal ng sablan	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyZJqe8tyNmhdZZew14AaABAg	UgyZJqe8tyNmhdZZew14AaABAg	UCZujTpMON7q_SeOkP7_8fYA	Fetched 05/28/2026, 10:00:02 PM GMT+8
3	Sablan	@jrcanja-p2j	1 day ago	Tuloy po ang suportA ng mga kabagis nanonood po mula sa lokal ng sablan	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwP7Kn5RlJgPlx20694AaABAg	UgwP7Kn5RlJgPlx20694AaABAg	UCykn86Ha46HDPYtEK2KPtkQ	Fetched 05/28/2026, 10:00:02 PM GMT+8
4	Sablan	@arjanejesalva9246	1 day ago (edited)	Happy viewing po mula s alokal ng sablan	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz_a5HMhTQuXsX10rl4AaABAg	Ugz_a5HMhTQuXsX10rl4AaABAg	UCZujTpMON7q_SeOkP7_8fYA	Fetched 05/28/2026, 10:00:02 PM GMT+8
5	Sablan	@Mattjulric-d2b	2 days ago	Happy viewing po from lokal ng Sablan	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzBqIodetHF6iV_9Hl4AaABAg	UgzBqIodetHF6iV_9Hl4AaABAg	UCQbUGdnYyN7BudzW-c6-qBg	Fetched 05/28/2026, 10:00:02 PM GMT+8
6	Sablan	@jherwyncuenca1582	2 days ago	Happy viewing po from lokal ng sablan	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxKuLoHAR3o6MJvFax4AaABAg	UgxKuLoHAR3o6MJvFax4AaABAg	UCuyog6Vbxa7UXRhv3WGBFpQ	Fetched 05/28/2026, 10:00:02 PM GMT+8
7	Sablan	@AndresAnayasan	3 days ago	Happy watching p0 mga kapatid..lokal ng sablan  distrito ng benguet	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw4tG0XaGgqSmYFm-N4AaABAg	Ugw4tG0XaGgqSmYFm-N4AaABAg	UCTB72-LuYj7-rNefFtHkRHA	Fetched 05/28/2026, 10:00:02 PM GMT+8
8	Sablan	@mardyaustria3697	3 days ago	Shout out po sa mga kapatid sa lokal ng Sablan. Masayang panonood mga kapatid!	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzaJ2Te75eYpprNxNd4AaABAg	UgzaJ2Te75eYpprNxNd4AaABAg	UCowF1GhubEW0VMFHKidtnXw	Fetched 05/28/2026, 10:00:02 PM GMT+8
9	Sablan	@Mattjulric-d2b	3 days ago	Happy viewing from lokal ng Sablan po	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwXAoru1UhxO7nuWod4AaABAg	UgwXAoru1UhxO7nuWod4AaABAg	UCQbUGdnYyN7BudzW-c6-qBg	Fetched 05/28/2026, 10:00:02 PM GMT+8
10	Sablan	@arjanejesalva9246	4 days ago	Tuloy tuloy po ang suporta mga kabagis! viewing po mula sa lokal ng Sablan	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx9JywUgbsPHHPiM5F4AaABAg	Ugx9JywUgbsPHHPiM5F4AaABAg	UCZujTpMON7q_SeOkP7_8fYA	Fetched 05/28/2026, 10:00:02 PM GMT+8
