Global Ranking
Rank	Region	Entry / District	Song Title	Current Views	Published	Matched Video Title	YouTube URL	Fetched At
1	Abroad	New South Wales	Tayo'y Magsasama Sa Habang Buhay	204000	1 month ago	Tayo'y Magsasama Sa Habang Buhay | New South Wales | INCMV AWARDS 2026	https://www.youtube.com/watch?v=VXpC97YXda8	Fetched 06/01/2026, 9:20:56 PM GMT+8
2	Abroad	San Diego County, California	I Will Serve	112000	1 month ago	I Will Serve | San Diego County, California | INCMV AWARDS 2026	https://www.youtube.com/watch?v=vqe138q-k3g	Fetched 06/01/2026, 9:20:56 PM GMT+8
3	Abroad	Taiwan	Anuman Po Ang Mangyari	92000	1 month ago	Anuman Po Ang Mangyari | Taiwan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=zJd7JE1tY8o	Fetched 06/01/2026, 9:20:56 PM GMT+8
4	Visayas	Cebu City, Cebu	Ang Pag-awit Sa Iyo Ang Kaaliwan	86000	4 weeks ago	Ang Pag-awit Sa Iyo Ang Kaaliwan | Cebu City, Cebu | INCMV AWARDS 2026	https://www.youtube.com/watch?v=HJLauTbonUQ	Fetched 06/01/2026, 9:20:56 PM GMT+8
5	Visayas	Aklan	Lahat, Posible Sa Ama	76000	1 month ago	Lahat, Posible Sa Ama | Aklan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=TznVRMmBHwI	Fetched 06/01/2026, 9:20:56 PM GMT+8
6	Luzon	Benguet	God's Love	63000	1 month ago	God's Love | Benguet | INCMV AWARDS 2026	https://www.youtube.com/watch?v=ROa3kbG5M0U	Fetched 06/01/2026, 9:20:56 PM GMT+8
7	Abroad	Eastern Ontario	I Will Always Choose You	39000	1 month ago	I Will Always Choose You | Eastern Ontario | INCMV AWARDS 2026	https://www.youtube.com/watch?v=BG18XMjAPgI	Fetched 06/01/2026, 9:20:56 PM GMT+8
8	Luzon	Trece Martires City, Cavite	Siya Lagi	38000	1 month ago	Siya Lagi | Trece Martires City, Cavite | INCMV AWARDS 2026	https://www.youtube.com/watch?v=ihukT2TiNwM	Fetched 06/01/2026, 9:20:56 PM GMT+8
9	Luzon	Maynila	Di Magsasawang Pasalamatan Ka, Ama	27000	1 month ago	Di Magsasawang Pasalamatan Ka, Ama | Maynila | INCMV AWARDS 2026	https://www.youtube.com/watch?v=M4k2h6VWlJ0	Fetched 06/01/2026, 9:20:56 PM GMT+8
10	Luzon	Dasmariñas City, Cavite	Pag-asa Natin Ay Magaganap	26000	1 month ago	Pag-asa Natin Ay Magaganap | Dasmariñas City, Cavite | INCMV AWARDS 2026	https://www.youtube.com/watch?v=V34WkLFWvmA	Fetched 06/01/2026, 9:20:56 PM GMT+8
