No.	Matched Lokal	Commenter Name	Comment Time	Comment Text	Comment URL	Comment ID	Channel ID	Fetched At
1	Lourdes	@luningningpescoso4921	4 hours ago	Happy viewing po to all congratulations po Kay Ka Edralix Pescoso at Ka Emmanuel Eque pati Kay Rhyza Gamotlong,mula po sa Lokal ng Lourdes Distrito Ng Benguet	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz9v_SaYuWOyyaMxuh4AaABAg	Ugz9v_SaYuWOyyaMxuh4AaABAg	UCNEFZJBC-8ZcT-q6hyiB7Dg	Fetched 05/22/2026, 10:00:05 PM GMT+8
2	Lourdes	@gladysannponseca7828	10 hours ago	Happy Viewing po mga Kapatid 👋👋 / Pagbati po mula sa Lokal ng Lourdes  / Distrito ng Benguet / Go Benguet !!	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy946OIK2ONv6BRtxB4AaABAg	Ugy946OIK2ONv6BRtxB4AaABAg	UClgvbvdc0yYQEQGfa8KWZVg	Fetched 05/22/2026, 10:00:05 PM GMT+8
3	Lourdes	@AnnicaRivera-m4c	10 hours ago	Happy Viewing po mga Kapatid / From lokal ng lourdes ❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzwC2ECkLzdbnLdy3p4AaABAg	UgzwC2ECkLzdbnLdy3p4AaABAg	UChY4pycINWUFWWldGCi7HOw	Fetched 05/22/2026, 10:00:05 PM GMT+8
4	Lourdes	@JoeAnn-i9k	11 hours ago	Happy viewing po mula po sa Lokal ng Lourdes 🤗❤️	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxG3Qwntr4U0zx2cM94AaABAg	UgxG3Qwntr4U0zx2cM94AaABAg	UCmq8P7xd4KDFhVjABkcxljQ	Fetched 05/22/2026, 10:00:05 PM GMT+8
5	Lourdes	@Ann-g7y4i	11 hours ago	happy viewing from lokal ng lourdes ❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwv4OCl7D5Y1i17bO94AaABAg	Ugwv4OCl7D5Y1i17bO94AaABAg	UCFvBIzMEKjb_W5vqLGA87gQ	Fetched 05/22/2026, 10:00:05 PM GMT+8
6	Lourdes	@mariacorazongarces7560	11 hours ago	Happy viewing po from lokal ng Lourdes distrito ng benguet.	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz02_KQMuwxk_rkV1x4AaABAg	Ugz02_KQMuwxk_rkV1x4AaABAg	UCKqLe-tLRRlp_EY39S6tmww	Fetched 05/22/2026, 10:00:05 PM GMT+8
7	Lourdes	@dencii02	11 hours ago	Happy Viewing Po mula po sa Lokal ng Lourdes, Distrito ng Benguet 🥳🥳	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzP60Ot0lWM1ddsmY54AaABAg	UgzP60Ot0lWM1ddsmY54AaABAg	UCMBjUq_J1CZx0VeVAzl7Quw	Fetched 05/22/2026, 10:00:05 PM GMT+8
8	Lourdes	@luningningpescoso4921	11 hours ago	Happy viewing po congrats po SA anak kung si Edralix Pescoso,mula po sa Lokal Ng Lourdes Distrito Ng Benguet	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugyzf7iQjBB6bZ_tDgJ4AaABAg	Ugyzf7iQjBB6bZ_tDgJ4AaABAg	UCNEFZJBC-8ZcT-q6hyiB7Dg	Fetched 05/22/2026, 10:00:05 PM GMT+8
9	Lourdes	@schoolrequirements1914	12 hours ago	Hi po to all and Happy viewing 😊 Greetings from Locale of LOURDES, District of BENGUET❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxne2S8GGjNpFL_R4d4AaABAg	Ugxne2S8GGjNpFL_R4d4AaABAg	UCKoT5mbSbsIAkAWmdDPFvXg	Fetched 05/22/2026, 10:00:05 PM GMT+8
10	Lourdes	@lovinglyyourscamille	12 hours ago	Ang galing po👏👏👏 Hello everyone! Binabati po namin ang aming mahal na destinado, ang Kapatid na Agoncillo Pescoso. Pagbati po mula sa Lokal ng LOURDES, Distrito ng Benguet! Go Benguet! Go, go, go!!!🎉❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzGXahigxE9M56tIKd4AaABAg	UgzGXahigxE9M56tIKd4AaABAg	UCepEEJtSg3VGburd35iQgTA	Fetched 05/22/2026, 10:00:05 PM GMT+8
11	Lourdes	@AlexandriabenKalvin	15 hours ago	happy viewing po / mula sa Lokal ng Lourdes / Distrito ng Benguet	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx_OBARUptA5LI1C-B4AaABAg	Ugx_OBARUptA5LI1C-B4AaABAg	UCSoB22EarBl-ur8eMGIXNsQ	Fetched 05/22/2026, 10:00:05 PM GMT+8
12	Lourdes	@luningningpescoso4921	15 hours ago	Magandang umaga po mga kapatid lalo na po SA aming Tagapangasiwa na Si Kapatid na Ardy Mendoza at SA kanyang maybahay na si Kapatid na Jane Mendoza mula po SA Lokal Ng Lourdes Distrito Ng Benguet	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgylZrBFrVrXRTMAtvN4AaABAg	UgylZrBFrVrXRTMAtvN4AaABAg	UCNEFZJBC-8ZcT-q6hyiB7Dg	Fetched 05/22/2026, 10:00:05 PM GMT+8
13	Lourdes	@luningningpescoso4921	23 hours ago	Magandang gabi po mga kapatid mula po SA Lokal Ng Lourdes Distrito Ng Benguet Go Go Go Benguet	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwYbgf5G5ukvJHzKV54AaABAg	UgwYbgf5G5ukvJHzKV54AaABAg	UCNEFZJBC-8ZcT-q6hyiB7Dg	Fetched 05/22/2026, 10:00:05 PM GMT+8
14	Lourdes	@spiffyrs	23 hours ago	Hello po from Lokal Of Lourdes District of BENGUET, Happy Birthday po Kapatid na Angelo Erano Manalo.	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzr0gyxvHPGT1UZPJ14AaABAg	Ugzr0gyxvHPGT1UZPJ14AaABAg	UC2TVbJvUvwWRabm_TdAHzvA	Fetched 05/22/2026, 10:00:05 PM GMT+8
15	Lourdes	@hairyan_j	23 hours ago	Hello po, pagbati po mula sa Lokal ng Lourdes, Distrito ng Benguet! ❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz7Oz2hZ6hzv38maOx4AaABAg	Ugz7Oz2hZ6hzv38maOx4AaABAg	UCbqsYKX2YW3TRrfnyMTQpyA	Fetched 05/22/2026, 10:00:05 PM GMT+8
16	Lourdes	@Yohanneeeee	23 hours ago	Hello po mga kapatid❤ Greetings from Lokal ng Lourdes, Distrito po ng Benguet😊	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyJ_qCptxSz4TYykA94AaABAg	UgyJ_qCptxSz4TYykA94AaABAg	UCAGRYHfMfDpnwlBDejbzzZQ	Fetched 05/22/2026, 10:00:05 PM GMT+8
17	Lourdes	@luningningpescoso4921	1 day ago	Masayang panonood po mga kapatid mula po sa Lokal Ng Lourdes Distrito Ng Benguet	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyPHdPl1Pobx4fh4IJ4AaABAg	UgyPHdPl1Pobx4fh4IJ4AaABAg	UCNEFZJBC-8ZcT-q6hyiB7Dg	Fetched 05/22/2026, 10:00:05 PM GMT+8
