No.	Matched Lokal	Commenter Name	Comment Time	Comment Text	Comment URL	Comment ID	Channel ID	Fetched At
1	Penged	@JessicaCardenas-k6m	11 days ago	Go benguet! Happy viewing from lokal ng Penged po!	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyOUNGtRrxDyQgDC1l4AaABAg	UgyOUNGtRrxDyQgDC1l4AaABAg	UCTT1Y2UitCnt3rllytWVdnw	Fetched 06/08/2026, 10:00:05 PM GMT+8
2	Penged	@JosephCardenas-f7e	12 days ago	Fight!Benguet.Blessed watching .from Penged Locale, Benguet District.	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxfcpb1XXvXNYrK62t4AaABAg	Ugxfcpb1XXvXNYrK62t4AaABAg	UCJjwsVaiwlfHjlu8dfEOzwA	Fetched 06/08/2026, 10:00:05 PM GMT+8
3	Penged	@Jollyjoe-bc6pf	12 days ago	Happy watching..Fight Fight Fight! Benguet from kalihiman lokal Ng Penged	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwKjArfvbFJ8nebc1B4AaABAg	UgwKjArfvbFJ8nebc1B4AaABAg	UCqbFh4Wmrsz4aUDYDTk9S4Q	Fetched 06/08/2026, 10:00:05 PM GMT+8
4	Penged	@magdalenaanod3083	12 days ago	LOKAL PO NG pENGED ☺	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyagPTgRBjIyAIKygp4AaABAg	UgyagPTgRBjIyAIKygp4AaABAg	UCjQceReU9dpuK6BQh04M2FA	Fetched 06/08/2026, 10:00:05 PM GMT+8
5	Penged	@garciaalyssamae5367	13 days ago	maligayang panunuod po. From lokal ng Penged, distrito ng Benguet 🤗🤗	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzMZ0Y7-TCsF36XF754AaABAg	UgzMZ0Y7-TCsF36XF754AaABAg	UCBxywwZ2rmz3iWcGFjPHbLg	Fetched 06/08/2026, 10:00:05 PM GMT+8
6	Penged	@MaribelChagwaten	13 days ago	Happy Viewing po sa lahat 😊❤ mula po sa lokal ng Penged Distrito ng Benguet po 😊	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxuWmuconAQID3yx_x4AaABAg	UgxuWmuconAQID3yx_x4AaABAg	UCAXSXMmqKP_XGyTcp0gMY1A	Fetched 06/08/2026, 10:00:05 PM GMT+8
7	Penged	@mayflorramos5496	13 days ago	Go go po Benguet / HAPPY WATCHING po from Distrito nang Benguet Lokal nang Penged 💚🤍❤️	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzG1AIN0LZIhiCSVDp4AaABAg	UgzG1AIN0LZIhiCSVDp4AaABAg	UCobGJb_w3hRF2kV4IxChP5g	Fetched 06/08/2026, 10:00:05 PM GMT+8
8	Penged	@CarloLapuz-d9j	13 days ago	Magandang gabi po.  /  / Lokal ng Penged ❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwmA684KQGKSqUM3gB4AaABAg	UgwmA684KQGKSqUM3gB4AaABAg	UCV3ywPI2qSbNPfDTvol4gtA	Fetched 06/08/2026, 10:00:05 PM GMT+8
9	Penged	@MitchellChagwaten	13 days ago	Happy viewing mga kbgis..Lokal na penged,distrito na benguet	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzxaDfrBudWnDmrJGZ4AaABAg	UgzxaDfrBudWnDmrJGZ4AaABAg	UCyS-hkHqGpVeFSfojbvPWhQ	Fetched 06/08/2026, 10:00:05 PM GMT+8
10	Penged	@JosephCardenas-f7e	13 days ago	❤Go Benguet! From Penged Locale	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwhBUwguLt9uOuNi9V4AaABAg	UgwhBUwguLt9uOuNi9V4AaABAg	UCJjwsVaiwlfHjlu8dfEOzwA	Fetched 06/08/2026, 10:00:05 PM GMT+8
