No.	Matched Lokal	Commenter Name	Comment Time	Comment Text	Comment URL	Comment ID	Channel ID	Fetched At
1	Penged	@CarloLapuz-w8k3m	2 days ago	Tamang nuod ng INCMV ng ating distrito habang kumakain. Kain po mga kabagis! /  / Penged at Tadiangan  / ♥♥♥	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxSPN1wnV69StDBPRR4AaABAg	UgxSPN1wnV69StDBPRR4AaABAg	UC-VdQWij6Eoc3P9MHv1McNg	Fetched 05/22/2026, 4:47:07 PM GMT+8
2	Penged	@CarloLapuz-d9j	2 days ago	Go Benguet. Patuloy nating panuoring ang INCMV ng ating distrito.  /  / Penged & Tadiangan ❤️	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx7d4dQNVAB9uPlpn14AaABAg	Ugx7d4dQNVAB9uPlpn14AaABAg	UCV3ywPI2qSbNPfDTvol4gtA	Fetched 05/22/2026, 4:47:07 PM GMT+8
3	Penged	@MaribelChagwaten	2 days ago	HAPPY VIEWING PO SA LAHAT 😊❤ MULA PO SA LOKAL NG PENGED , DISTRITO NG BENGUET PO......😊	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyprZ9DLO1e0E9n1sR4AaABAg	UgyprZ9DLO1e0E9n1sR4AaABAg	UCAXSXMmqKP_XGyTcp0gMY1A	Fetched 05/22/2026, 4:47:07 PM GMT+8
4	Penged	@CarloLapuz-d9j	3 days ago	Fight fight fight  /  / Penged & Tadiangan ❤❤❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxoBbK1VnoTh2__w-F4AaABAg	UgxoBbK1VnoTh2__w-F4AaABAg	UCV3ywPI2qSbNPfDTvol4gtA	Fetched 05/22/2026, 4:47:07 PM GMT+8
5	Penged	@magdalenaanod3083	3 days ago	Happy Viewing From Local ng Penged Distrito ng BEnguet po😇	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyiKOBy0tlpGFb0adN4AaABAg	UgyiKOBy0tlpGFb0adN4AaABAg	UCjQceReU9dpuK6BQh04M2FA	Fetched 05/22/2026, 4:47:07 PM GMT+8
6	Penged	@MaribelChagwaten	3 days ago	Happy watching po sa lahat.... mula po dto sa lokal ng Penged, Distrito ng Benguet po 😊❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwn6y8Jw5QiIuLRQIR4AaABAg	Ugwn6y8Jw5QiIuLRQIR4AaABAg	UCAXSXMmqKP_XGyTcp0gMY1A	Fetched 05/22/2026, 4:47:07 PM GMT+8
7	Penged	@JessicaCardenas-k6m	3 days ago	Go benguet! Happy viewing from Lokal ng Penged po. Distrito ng Benguet!	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugywg7c8WaXEy5voFlF4AaABAg	Ugywg7c8WaXEy5voFlF4AaABAg	UCTT1Y2UitCnt3rllytWVdnw	Fetched 05/22/2026, 4:47:07 PM GMT+8
8	Penged	@CarloLapuz-d9j	3 days ago	Magandang umaga po mga kapatid. Greeting po from lokal ng penged at tadiangan. Ingat po tayo sa buong araw ng paggawa 😊	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzEDcwCqk5eYBbDglp4AaABAg	UgzEDcwCqk5eYBbDglp4AaABAg	UCV3ywPI2qSbNPfDTvol4gtA	Fetched 05/22/2026, 4:47:07 PM GMT+8
9	Penged	@CarloLapuz-d9j	3 days ago	Tamang nuod ng INCMV bago matulog. Hehehe. /  / -Penged Tadiangan	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxZBMRwYlU-nUe_fXl4AaABAg	UgxZBMRwYlU-nUe_fXl4AaABAg	UCV3ywPI2qSbNPfDTvol4gtA	Fetched 05/22/2026, 4:47:07 PM GMT+8
10	Penged	@CarloLapuz-d9j	3 days ago	Magandang gabi po mga kapatid. Patuloy lang po nating panuoring ang ating INCMV.  /  / Lokal ng Penged at Tadiangn ❤️❤️❤️	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxWEEXOhU8HzhDUMS14AaABAg	UgxWEEXOhU8HzhDUMS14AaABAg	UCV3ywPI2qSbNPfDTvol4gtA	Fetched 05/22/2026, 4:47:07 PM GMT+8
