No.	Matched Lokal	Commenter Name	Comment Time	Comment Text	Comment URL	Comment ID	Channel ID	Fetched At
1	Binanga	@fhem1189	9 days ago	GOD'S  LOVE Happy viewing po, I ❤ PNK  from Lokal ng BINANGA, DISTRITO NG BENGUET.	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyOTJNc97QwXKRmkAx4AaABAg	UgyOTJNc97QwXKRmkAx4AaABAg	UCa-QXxrKEn0xQSpI-HghsNw	Fetched 06/04/2026, 9:00:00 PM GMT+8
2	Binanga	@jenniferbejara4673	9 days ago	Happy viewing po..mula sa lokal ng Binanga 💚🤍❤️	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzxpKf4VIw5D9AltO94AaABAg	UgzxpKf4VIw5D9AltO94AaABAg	UCTfQ0T_jz8AOUO-sl9N-m8g	Fetched 06/04/2026, 9:00:00 PM GMT+8
3	Binanga	@JollyZudda	9 days ago	Hello po mga kapatid happy watching po mula dito sa lokal ng Binanga ♥️	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyuHi52nvmQ53F5O3p4AaABAg	UgyuHi52nvmQ53F5O3p4AaABAg	UCUfw-fduSFopY-Jwlikzt_g	Fetched 06/04/2026, 9:00:00 PM GMT+8
4	Binanga	@bervondaquisio4596	9 days ago	Greetings po sa lahat ng mga Kapatid, TSV at SCAN. Happy Viewing po!!! Mula sa Lokal ng Binanga Benguet /  / LET’S GO BENGUET!🍓🍓 / FIGHT! FIGHT! FIGHT!🎉🎉	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzIvBCWdStHh0xunON4AaABAg	UgzIvBCWdStHh0xunON4AaABAg	UC1lQcloLlUzpjaeG2pEcTYQ	Fetched 06/04/2026, 9:00:00 PM GMT+8
5	Binanga	@bervondaquisio4596	10 days ago	Greetings po sa lahat ng mga Kapatid, TSV at SCAN. Happy Viewing po!!! Mula sa Lokal ng Binanga Benguet /  / LET’S GO BENGUET!🍓🍓 / FIGHT! FIGHT! FIGHT!🎉🎉	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxcDoSa3JYBGGFTbJN4AaABAg	UgxcDoSa3JYBGGFTbJN4AaABAg	UC1lQcloLlUzpjaeG2pEcTYQ	Fetched 06/04/2026, 9:00:00 PM GMT+8
6	Binanga	@krizeloyao6787	10 days ago	Few days left! Let's go Benguet! -Binanga CWS	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwWN6kI2wdiYYQgShx4AaABAg	UgwWN6kI2wdiYYQgShx4AaABAg	UC8swQ5S2bNcbNpJhpMKg7Bw	Fetched 06/04/2026, 9:00:00 PM GMT+8
7	Binanga	@bervondaquisio4596	10 days ago	Greetings po sa lahat ng mga Kapatid, TSV at SCAN. Happy Viewing po!!! Mula sa Lokal ng Binanga Benguet /  / LET’S GO BENGUET!🍓🍓 / FIGHT! FIGHT! FIGHT!🎉🎉	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwAgBz0C3567mVKY914AaABAg	UgwAgBz0C3567mVKY914AaABAg	UC1lQcloLlUzpjaeG2pEcTYQ	Fetched 06/04/2026, 9:00:00 PM GMT+8
8	Binanga	@timesaver4001	11 days ago	Happy viewing po mula sa lokal ng binanga🎉🎉🎉	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzptk9xFsnaiJ64sp54AaABAg	Ugzptk9xFsnaiJ64sp54AaABAg	UCQ9_1b0kUNiszWQj5jawjYg	Fetched 06/04/2026, 9:00:00 PM GMT+8
9	Binanga	@bervondaquisio4596	11 days ago (edited)	Greetings po sa lahat ng mga Kapatid, TSV at SCAN. Happy Viewing po!!! Mula sa Lokal ng Binanga Benguet /  / LET’S GO BENGUET!🍓🍓 / FIGHT! FIGHT! FIGHT!🎉🎉	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugznb6-dc1cRWhhmXzd4AaABAg	Ugznb6-dc1cRWhhmXzd4AaABAg	UC1lQcloLlUzpjaeG2pEcTYQ	Fetched 06/04/2026, 9:00:00 PM GMT+8
10	Binanga	@bervondaquisio4596	11 days ago (edited)	Greetings po sa lahat ng mga Kapatid, Pangunahin po sa mga kasamahan sa TSV at SCAN. Happy Viewing po!!! Shoutout din po kay Kapatid na Clydan!!!. Mula po sa Lokal ng Binanga	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxPKpWQQoeBHX6f9g54AaABAg	UgxPKpWQQoeBHX6f9g54AaABAg	UC1lQcloLlUzpjaeG2pEcTYQ	Fetched 06/04/2026, 9:00:00 PM GMT+8
