Abroad Ranking
Rank	Entry / District	Song Title	Current Views	Published	Matched Video Title	YouTube URL	Fetched At
1	New South Wales	Tayo'y Magsasama Sa Habang Buhay	153781	2026-05-01	Tayo'y Magsasama Sa Habang Buhay | New South Wales | INCMV AWARDS 2026	https://www.youtube.com/watch?v=VXpC97YXda8	Fetched 05/27/2026, 2:09:49 AM GMT+8
2	San Diego County, California	I Will Serve	105621	2026-05-01	I Will Serve | San Diego County, California | INCMV AWARDS 2026	https://www.youtube.com/watch?v=vqe138q-k3g	Fetched 05/27/2026, 2:09:49 AM GMT+8
3	Taiwan	Anuman Po Ang Mangyari	86876	2026-05-01	Anuman Po Ang Mangyari | Taiwan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=zJd7JE1tY8o	Fetched 05/27/2026, 2:09:49 AM GMT+8
4	Eastern Ontario	I Will Always Choose You	39086	2026-05-01	I Will Always Choose You | Eastern Ontario | INCMV AWARDS 2026	https://www.youtube.com/watch?v=BG18XMjAPgI	Fetched 05/27/2026, 2:09:49 AM GMT+8
5	Northern Europe	Everything Is Possible	11137	2026-05-01	Everything Is Possible | Northern Europe | INCMV AWARDS 2026	https://www.youtube.com/watch?v=z9mFEB5t2k8	Fetched 05/27/2026, 2:09:49 AM GMT+8
6	Silicon Valley, California	We Are Warriors	8336	2026-05-01	We Are Warriors | Silicon Valley, California | INCMV AWARDS 2026	https://www.youtube.com/watch?v=nk-1NrqjNwo	Fetched 05/27/2026, 2:09:49 AM GMT+8
7	Edmonton	We’re INC For Life	7535	2026-05-01	We’re INC For Life | Edmonton | INCMV AWARDS 2026	https://www.youtube.com/watch?v=-gMNB9e4rxQ	Fetched 05/27/2026, 2:09:49 AM GMT+8
8	Britain South	One True God, One Faith	6687	2026-05-01	One True God, One Faith | Britain South | INCMV AWARDS 2026	https://www.youtube.com/watch?v=UQ8Srh0SDRI	Fetched 05/27/2026, 2:09:49 AM GMT+8
9	Northeast California	Each Day	5991	2026-05-01	Each Day | Northeast California | INCMV AWARDS 2026	https://www.youtube.com/watch?v=d4RSUvZq0CA	Fetched 05/27/2026, 2:09:49 AM GMT+8
10	Victoria, Australia	More Than We Asked For	5617	2026-05-01	More Than We Asked For | Victoria, Australia | INCMV AWARDS 2026	https://www.youtube.com/watch?v=oWKjNjnv4pk	Fetched 05/27/2026, 2:09:49 AM GMT+8
11	Florida and Caribbean	Taorenai le (A House That Stands)	5308	2026-05-01	Taorenai le (A House That Stands) | Florida and Caribbean | INCMV AWARDS 2026	https://www.youtube.com/watch?v=GalvMTwQqf4	Fetched 05/27/2026, 2:09:49 AM GMT+8
12	South Central States	No Matter What	4671	2026-05-01	No Matter What | South Central States | INCMV AWARDS 2026	https://www.youtube.com/watch?v=9EXxQC4XjNw	Fetched 05/27/2026, 2:09:49 AM GMT+8
13	Bay Area California	Deal With This	4430	2026-05-01	Deal With This | Bay Area California | INCMV AWARDS 2026	https://www.youtube.com/watch?v=4xFLBNsNWh4	Fetched 05/27/2026, 2:09:49 AM GMT+8
14	Malaysia	In His Hands	4156	2026-05-04	In His Hands | Malaysia | INCMV AWARDS 2026	https://www.youtube.com/watch?v=Kr76Q-eZHj4	Fetched 05/27/2026, 2:09:49 AM GMT+8
15	Italy South	Siya Lagi	3316	2026-05-02	Siya Lagi | Italy South | INCMV AWARDS 2026	https://www.youtube.com/watch?v=KhDP4H3HcbU	Fetched 05/27/2026, 2:09:49 AM GMT+8
16	Italy North	Bumangon Ka	2895	2026-05-01	Bumangon Ka | Italy North | INCMV AWARDS 2026	https://www.youtube.com/watch?v=98opnCAzt74	Fetched 05/27/2026, 2:09:49 AM GMT+8
17	Singapore	Miracles	2873	2026-05-01	Miracles | Singapore | INCMV AWARDS 2026	https://www.youtube.com/watch?v=vHqGFuETYF8	Fetched 05/27/2026, 2:09:49 AM GMT+8
18	Los Angeles County, California	Redeemed	2751	2026-05-01	Redeemed | Los Angeles County, California | INCMV AWARDS 2026	https://www.youtube.com/watch?v=hm0uaFLQKUk	Fetched 05/27/2026, 2:09:49 AM GMT+8
19	New Zealand North	Anuman Po Ang Mangyari	2746	2026-05-01	Anuman Po Ang Mangyari | New Zealand North | INCMV AWARDS 2026	https://www.youtube.com/watch?v=t-DyGa8bUZE	Fetched 05/27/2026, 2:09:49 AM GMT+8
20	Orange County California	You Don't Have To Be Alone	2603	2026-05-01	You Don't Have To Be Alone | Orange County California | INCMV AWARDS 2026	https://www.youtube.com/watch?v=orekVfRKcGs	Fetched 05/27/2026, 2:09:49 AM GMT+8
21	Virginia & Carolinas	May I Always Be True	2343	2026-05-01	May I Always Be True | Virginia & Carolinas | INCMV AWARDS 2026	https://www.youtube.com/watch?v=wPETTnVl2sE	Fetched 05/27/2026, 2:09:49 AM GMT+8
22	Great Lakes	My Dearest Child	2321	2026-05-01	My Dearest Child | Great Lakes | INCMV AWARDS 2026	https://www.youtube.com/watch?v=O1n4cC0zz40	Fetched 05/27/2026, 2:09:49 AM GMT+8
23	Central Europe	May You Always Brightly Shine	2140	2026-05-01	May You Always Brightly Shine | Central Europe | INCMV AWARDS 2026	https://www.youtube.com/watch?v=QHp75WY5ZBU	Fetched 05/27/2026, 2:09:49 AM GMT+8
24	Western Europe	Panalangin	2125	2026-05-01	Panalangin | Western Europe | INCMV AWARDS 2026	https://www.youtube.com/watch?v=ZJJbPddaVwk	Fetched 05/27/2026, 2:09:49 AM GMT+8
25	Thailand	Never Let Go	2084	2026-05-01	Never Let Go | Thailand | INCMV AWARDS 2026	https://www.youtube.com/watch?v=rkNkxVR3h4Q	Fetched 05/27/2026, 2:09:49 AM GMT+8
26	Nagoya, Japan	People Of God Should Continue To Please Him	2070	2026-05-01	People Of God Should Continue To Please Him | Nagoya, Japan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=lHTiWdPLZzA	Fetched 05/27/2026, 2:09:49 AM GMT+8
27	Vietnam	God Will Provide Strength	2025	2026-05-01	God Will Provide Strength | Vietnam | INCMV AWARDS 2026	https://www.youtube.com/watch?v=F9UrAhQXEhM	Fetched 05/27/2026, 2:09:49 AM GMT+8
