Visayas Ranking
Rank	Entry / District	Song Title	Current Views	Published	Matched Video Title	YouTube URL	Fetched At
1	Cebu City, Cebu	Ang Pag-awit Sa Iyo Ang Kaaliwan	40580	2026-05-04	Ang Pag-awit Sa Iyo Ang Kaaliwan | Cebu City, Cebu | INCMV AWARDS 2026	https://www.youtube.com/watch?v=HJLauTbonUQ	Fetched 05/20/2026, 2:00:48 AM GMT+8
2	Aklan	Lahat, Posible Sa Ama	39488	2026-05-01	Lahat, Posible Sa Ama | Aklan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=TznVRMmBHwI	Fetched 05/20/2026, 2:00:48 AM GMT+8
3	Tacloban City, Leyte	Sabi Ni Lola	5644	2026-05-01	Sabi Ni Lola | Tacloban City, Leyte | INCMV AWARDS 2026	https://www.youtube.com/watch?v=kYhrHytdid4	Fetched 05/20/2026, 2:00:48 AM GMT+8
4	Bohol	Kalmadong Magpatuloy	4917	2026-05-01	Kalmadong Magpatuloy | Bohol | INCMV AWARDS 2026	https://www.youtube.com/watch?v=f_bb1leQUlE	Fetched 05/20/2026, 2:00:48 AM GMT+8
5	Carcar City, Cebu	45	4171	2026-05-01	45 | Carcar City, Cebu | INCMV AWARDS 2026	https://www.youtube.com/watch?v=4qBLETJR2IE	Fetched 05/20/2026, 2:00:48 AM GMT+8
6	Kabankalan City, Negros Occidental	Siya Lagi	3580	2026-05-01	Siya Lagi | Kabankalan City, Negros Occidental | INCMV AWARDS 2026	https://www.youtube.com/watch?v=NqNSCeCGbuw	Fetched 05/20/2026, 2:00:48 AM GMT+8
7	Negros Oriental	Still Blessed By God	3006	2026-05-01	Still Blessed By God | Negros Oriental | INCMV AWARDS 2026	https://www.youtube.com/watch?v=t_pcYcHx5Ng	Fetched 05/20/2026, 2:00:48 AM GMT+8
8	Iloilo South	Panalangin	2940	2026-05-01	Panalangin | Iloilo South | INCMV AWARDS 2026	https://www.youtube.com/watch?v=HI-yMeRI3bg	Fetched 05/20/2026, 2:00:48 AM GMT+8
9	Leyte	Habang-buhay Namin Kayong Mamahalin	2908	2026-05-05	Habang-buhay Namin Kayong Mamahalin | Leyte | INCMV AWARDS 2026	https://www.youtube.com/watch?v=mogw64StkZA	Fetched 05/20/2026, 2:00:48 AM GMT+8
10	Southern Leyte	Ilagak Ang Pag-asa Sa Biyayang Darating	1571	2026-05-01	Ilagak Ang Pag-asa Sa Biyayang Darating | Southern Leyte | INCMV AWARDS 2026	https://www.youtube.com/watch?v=nWhiokZYDY0	Fetched 05/20/2026, 2:00:48 AM GMT+8
11	Antique	My Strength And Confidence	881	2026-05-01	My Strength And Confidence | Antique | INCMV AWARDS 2026	https://www.youtube.com/watch?v=G2q4uanbfJk	Fetched 05/20/2026, 2:00:48 AM GMT+8
12	San Carlos City, Negros Occidental	Enlightened	554	2026-05-01	Enlightened | San Carlos City, Negros Occidental | INCMV AWARDS 2026	https://www.youtube.com/watch?v=ffrtWU5cB4A	Fetched 05/20/2026, 2:00:48 AM GMT+8
