Global Ranking
Rank	Region	Entry / District	Song Title	Current Views	Published	Matched Video Title	YouTube URL	Fetched At
1	Abroad	New South Wales	Tayo'y Magsasama Sa Habang Buhay	204752	2026-05-01	Tayo'y Magsasama Sa Habang Buhay | New South Wales | INCMV AWARDS 2026	https://www.youtube.com/watch?v=VXpC97YXda8	Fetched 06/09/2026, 9:14:48 PM GMT+8
2	Abroad	San Diego County, California	I Will Serve	112762	2026-05-01	I Will Serve | San Diego County, California | INCMV AWARDS 2026	https://www.youtube.com/watch?v=vqe138q-k3g	Fetched 06/09/2026, 9:14:48 PM GMT+8
3	Abroad	Taiwan	Anuman Po Ang Mangyari	92667	2026-05-01	Anuman Po Ang Mangyari | Taiwan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=zJd7JE1tY8o	Fetched 06/09/2026, 9:14:48 PM GMT+8
4	Visayas	Cebu City, Cebu	Ang Pag-awit Sa Iyo Ang Kaaliwan	87475	2026-05-04	Ang Pag-awit Sa Iyo Ang Kaaliwan | Cebu City, Cebu | INCMV AWARDS 2026	https://www.youtube.com/watch?v=HJLauTbonUQ	Fetched 06/09/2026, 9:14:48 PM GMT+8
5	Visayas	Aklan	Lahat, Posible Sa Ama	76441	2026-05-01	Lahat, Posible Sa Ama | Aklan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=TznVRMmBHwI	Fetched 06/09/2026, 9:14:48 PM GMT+8
6	Luzon	Benguet	God's Love	63859	2026-05-01	God's Love | Benguet | INCMV AWARDS 2026	https://www.youtube.com/watch?v=ROa3kbG5M0U	Fetched 06/09/2026, 9:14:48 PM GMT+8
7	Abroad	Eastern Ontario	I Will Always Choose You	39283	2026-05-01	I Will Always Choose You | Eastern Ontario | INCMV AWARDS 2026	https://www.youtube.com/watch?v=BG18XMjAPgI	Fetched 06/09/2026, 9:14:48 PM GMT+8
8	Luzon	Trece Martires City, Cavite	Siya Lagi	38892	2026-05-01	Siya Lagi | Trece Martires City, Cavite | INCMV AWARDS 2026	https://www.youtube.com/watch?v=ihukT2TiNwM	Fetched 06/09/2026, 9:14:48 PM GMT+8
9	Luzon	Maynila	Di Magsasawang Pasalamatan Ka, Ama	27652	2026-05-01	Di Magsasawang Pasalamatan Ka, Ama | Maynila | INCMV AWARDS 2026	https://www.youtube.com/watch?v=M4k2h6VWlJ0	Fetched 06/09/2026, 9:14:48 PM GMT+8
10	Luzon	Dasmariñas City, Cavite	Pag-asa Natin Ay Magaganap	26912	2026-05-01	Pag-asa Natin Ay Magaganap | Dasmariñas City, Cavite | INCMV AWARDS 2026	https://www.youtube.com/watch?v=V34WkLFWvmA	Fetched 06/09/2026, 9:14:48 PM GMT+8
